source,target
23,70
70,35
35,106
106,53
53,160
160,80
80,40
40,20
20,10
10,5
5,16
16,8
8,4
4,2
2,1
8503,25510
25510,12755
12755,38266
38266,19133
19133,57400
57400,28700
28700,14350
14350,7175
7175,21526
21526,10763
10763,32290
32290,16145
16145,48436
48436,24218
24218,12109
12109,36328
36328,18164
18164,9082
9082,4541
4541,13624
13624,6812
6812,3406
3406,1703
1703,5110
5110,2555
2555,7666
7666,3833
3833,11500
11500,5750
5750,2875
2875,8626
8626,4313
4313,12940
12940,6470
6470,3235
3235,9706
9706,4853
4853,14560
14560,7280
7280,3640
3640,1820
1820,910
910,455
455,1366
1366,683
683,2050
2050,1025
1025,3076
3076,1538
1538,769
769,2308
2308,1154
1154,577
577,1732
1732,866
866,433
433,1300
1300,650
650,325
325,976
976,488
488,244
244,122
122,61
61,184
184,92
92,46
46,23
23,70
70,35
35,106
106,53
53,160
160,80
80,40
40,20
20,10
10,5
5,16
16,8
8,4
4,2
2,1
8504,4252
4252,2126
2126,1063
1063,3190
3190,1595
1595,4786
4786,2393
2393,7180
7180,3590
3590,1795
1795,5386
5386,2693
2693,8080
8080,4040
4040,2020
2020,1010
1010,505
505,1516
1516,758
758,379
379,1138
1138,569
569,1708
1708,854
854,427
427,1282
1282,641
641,1924
1924,962
962,481
481,1444
1444,722
722,361
361,1084
1084,542
542,271
271,814
814,407
407,1222
1222,611
611,1834
1834,917
917,2752
2752,1376
1376,688
688,344
344,172
172,86
86,43
43,130
130,65
65,196
196,98
98,49
49,148
148,74
74,37
37,112
112,56
56,28
28,14
14,7
7,22
22,11
11,34
34,17
17,52
52,26
26,13
13,40
40,20
20,10
10,5
5,16
16,8
8,4
4,2
2,1
8505,25516
25516,12758
12758,6379
6379,19138
19138,9569
9569,28708
28708,14354
14354,7177
7177,21532
21532,10766
10766,5383
5383,16150
16150,8075
8075,24226
24226,12113
12113,36340
36340,18170
18170,9085
9085,27256
27256,13628
13628,6814
6814,3407
3407,10222
10222,5111
5111,15334
15334,7667
7667,23002
23002,11501
11501,34504
34504,17252
17252,8626
8626,4313
4313,12940
12940,6470
6470,3235
3235,9706
9706,4853
4853,14560
14560,7280
7280,3640
3640,1820
1820,910
910,455
455,1366
1366,683
683,2050
2050,1025
1025,3076
3076,1538
1538,769
769,2308
2308,1154
1154,577
577,1732
1732,866
866,433
433,1300
1300,650
650,325
325,976
976,488
488,244
244,122
122,61
61,184
184,92
92,46
46,23
23,70
70,35
35,106
106,53
53,160
160,80
80,40
40,20
20,10
10,5
5,16
16,8
8,4
4,2
2,1
8506,4253
4253,12760
12760,6380
6380,3190
3190,1595
1595,4786
4786,2393
2393,7180
7180,3590
3590,1795
1795,5386
5386,2693
2693,8080
8080,4040
4040,2020
2020,1010
1010,505
505,1516
1516,758
758,379
379,1138
1138,569
569,1708
1708,854
854,427
427,1282
1282,641
641,1924
1924,962
962,481
481,1444
1444,722
722,361
361,1084
1084,542
542,271
271,814
814,407
407,1222
1222,611
611,1834
1834,917
917,2752
2752,1376
1376,688
688,344
344,172
172,86
86,43
43,130
130,65
65,196
196,98
98,49
49,148
148,74
74,37
37,112
112,56
56,28
28,14
14,7
7,22
22,11
11,34
34,17
17,52
52,26
26,13
13,40
40,20
20,10
10,5
5,16
16,8
8,4
4,2
2,1
8507,25522
25522,12761
12761,38284
38284,19142
19142,9571
9571,28714
28714,14357
14357,43072
43072,21536
21536,10768
10768,5384
5384,2692
2692,1346
1346,673
673,2020
2020,1010
1010,505
505,1516
1516,758
758,379
379,1138
1138,569
569,1708
1708,854
854,427
427,1282
1282,641
641,1924
1924,962
962,481
481,1444
1444,722
722,361
361,1084
1084,542
542,271
271,814
814,407
407,1222
1222,611
611,1834
1834,917
917,2752
2752,1376
1376,688
688,344
344,172
172,86
86,43
43,130
130,65
65,196
196,98
98,49
49,148
148,74
74,37
37,112
112,56
56,28
28,14
14,7
7,22
22,11
11,34
34,17
17,52
52,26
26,13
13,40
40,20
20,10
10,5
5,16
16,8
8,4
4,2
2,1
8508,4254
4254,2127
2127,6382
6382,3191
3191,9574
9574,4787
4787,14362
14362,7181
7181,21544
21544,10772
10772,5386
5386,2693
2693,8080
8080,4040
4040,2020
2020,1010
1010,505
505,1516
1516,758
758,379
379,1138
1138,569
569,1708
1708,854
854,427
427,1282
1282,641
641,1924
1924,962
962,481
481,1444
1444,722
722,361
361,1084
1084,542
542,271
271,814
814,407
407,1222
1222,611
611,1834
1834,917
917,2752
2752,1376
1376,688
688,344
344,172
172,86
86,43
43,130
130,65
65,196
196,98
98,49
49,148
148,74
74,37
37,112
112,56
56,28
28,14
14,7
7,22
22,11
11,34
34,17
17,52
52,26
26,13
13,40
40,20
20,10
10,5
5,16
16,8
8,4
4,2
2,1
8509,25528
25528,12764
12764,6382
6382,3191
3191,9574
9574,4787
4787,14362
14362,7181
7181,21544
21544,10772
10772,5386
5386,2693
2693,8080
8080,4040
4040,2020
2020,1010
1010,505
505,1516
1516,758
758,379
379,1138
1138,569
569,1708
1708,854
854,427
427,1282
1282,641
641,1924
1924,962
962,481
481,1444
1444,722
722,361
361,1084
1084,542
542,271
271,814
814,407
407,1222
1222,611
611,1834
1834,917
917,2752
2752,1376
1376,688
688,344
344,172
172,86
86,43
43,130
130,65
65,196
196,98
98,49
49,148
148,74
74,37
37,112
112,56
56,28
28,14
14,7
7,22
22,11
11,34
34,17
17,52
52,26
26,13
13,40
40,20
20,10
10,5
5,16
16,8
8,4
4,2
2,1
8510,4255
4255,12766
12766,6383
6383,19150
19150,9575
9575,28726
28726,14363
14363,43090
43090,21545
21545,64636
64636,32318
32318,16159
16159,48478
48478,24239
24239,72718
72718,36359
36359,109078
109078,54539
54539,163618
163618,81809
81809,245428
245428,122714
122714,61357
61357,184072
184072,92036
92036,46018
46018,23009
23009,69028
69028,34514
34514,17257
17257,51772
51772,25886
25886,12943
12943,38830
38830,19415
19415,58246
58246,29123
29123,87370
87370,43685
43685,131056
131056,65528
65528,32764
32764,16382
16382,8191
8191,24574
24574,12287
12287,36862
36862,18431
18431,55294
55294,27647
27647,82942
82942,41471
41471,124414
124414,62207
62207,186622
186622,93311
93311,279934
279934,139967
139967,419902
419902,209951
209951,629854
629854,314927
314927,944782
944782,472391
472391,1417174
1417174,708587
708587,2125762
2125762,1062881
1062881,3188644
3188644,1594322
1594322,797161
797161,2391484
2391484,1195742
1195742,597871
597871,1793614
1793614,896807
896807,2690422
2690422,1345211
1345211,4035634
4035634,2017817
2017817,6053452
6053452,3026726
3026726,1513363
1513363,4540090
4540090,2270045
2270045,6810136
6810136,3405068
3405068,1702534
1702534,851267
851267,2553802
2553802,1276901
1276901,3830704
3830704,1915352
1915352,957676
957676,478838
478838,239419
239419,718258
718258,359129
359129,1077388
1077388,538694
538694,269347
269347,808042
808042,404021
404021,1212064
1212064,606032
606032,303016
303016,151508
151508,75754
75754,37877
37877,113632
113632,56816
56816,28408
28408,14204
14204,7102
7102,3551
3551,10654
10654,5327
5327,15982
15982,7991
7991,23974
23974,11987
11987,35962
35962,17981
17981,53944
53944,26972
26972,13486
13486,6743
6743,20230
20230,10115
10115,30346
30346,15173
15173,45520
45520,22760
22760,11380
11380,5690
5690,2845
2845,8536
8536,4268
4268,2134
2134,1067
1067,3202
3202,1601
1601,4804
4804,2402
2402,1201
1201,3604
3604,1802
1802,901
901,2704
2704,1352
1352,676
676,338
338,169
169,508
508,254
254,127
127,382
382,191
191,574
574,287
287,862
862,431
431,1294
1294,647
647,1942
1942,971
971,2914
2914,1457
1457,4372
4372,2186
2186,1093
1093,3280
3280,1640
1640,820
820,410
410,205
205,616
616,308
308,154
154,77
77,232
232,116
116,58
58,29
29,88
88,44
44,22
22,11
11,34
34,17
17,52
52,26
26,13
13,40
40,20
20,10
10,5
5,16
16,8
8,4
4,2
2,1
8511,25534
25534,12767
12767,38302
38302,19151
19151,57454
57454,28727
28727,86182
86182,43091
43091,129274
129274,64637
64637,193912
193912,96956
96956,48478
48478,24239
24239,72718
72718,36359
36359,109078
109078,54539
54539,163618
163618,81809
81809,245428
245428,122714
122714,61357
61357,184072
184072,92036
92036,46018
46018,23009
23009,69028
69028,34514
34514,17257
17257,51772
51772,25886
25886,12943
12943,38830
38830,19415
19415,58246
58246,29123
29123,87370
87370,43685
43685,131056
131056,65528
65528,32764
32764,16382
16382,8191
8191,24574
24574,12287
12287,36862
36862,18431
18431,55294
55294,27647
27647,82942
82942,41471
41471,124414
124414,62207
62207,186622
186622,93311
93311,279934
279934,139967
139967,419902
419902,209951
209951,629854
629854,314927
314927,944782
944782,472391
472391,1417174
1417174,708587
708587,2125762
2125762,1062881
1062881,3188644
3188644,1594322
1594322,797161
797161,2391484
2391484,1195742
1195742,597871
597871,1793614
1793614,896807
896807,2690422
2690422,1345211
1345211,4035634
4035634,2017817
2017817,6053452
6053452,3026726
3026726,1513363
1513363,4540090
4540090,2270045
2270045,6810136
6810136,3405068
3405068,1702534
1702534,851267
851267,2553802
2553802,1276901
1276901,3830704
3830704,1915352
1915352,957676
957676,478838
478838,239419
239419,718258
718258,359129
359129,1077388
1077388,538694
538694,269347
269347,808042
808042,404021
404021,1212064
1212064,606032
606032,303016
303016,151508
151508,75754
75754,37877
37877,113632
113632,56816
56816,28408
28408,14204
14204,7102
7102,3551
3551,10654
10654,5327
5327,15982
15982,7991
7991,23974
23974,11987
11987,35962
35962,17981
17981,53944
53944,26972
26972,13486
13486,6743
6743,20230
20230,10115
10115,30346
30346,15173
15173,45520
45520,22760
22760,11380
11380,5690
5690,2845
2845,8536
8536,4268
4268,2134
2134,1067
1067,3202
3202,1601
1601,4804
4804,2402
2402,1201
1201,3604
3604,1802
1802,901
901,2704
2704,1352
1352,676
676,338
338,169
169,508
508,254
254,127
127,382
382,191
191,574
574,287
287,862
862,431
431,1294
1294,647
647,1942
1942,971
971,2914
2914,1457
1457,4372
4372,2186
2186,1093
1093,3280
3280,1640
1640,820
820,410
410,205
205,616
616,308
308,154
154,77
77,232
232,116
116,58
58,29
29,88
88,44
44,22
22,11
11,34
34,17
17,52
52,26
26,13
13,40
40,20
20,10
10,5
5,16
16,8
8,4
4,2
2,1
8512,4256
4256,2128
2128,1064
1064,532
532,266
266,133
133,400
400,200
200,100
100,50
50,25
25,76
76,38
38,19
19,58
58,29
29,88
88,44
44,22
22,11
11,34
34,17
17,52
52,26
26,13
13,40
40,20
20,10
10,5
5,16
16,8
8,4
4,2
2,1
8513,25540
25540,12770
12770,6385
6385,19156
19156,9578
9578,4789
4789,14368
14368,7184
7184,3592
3592,1796
1796,898
898,449
449,1348
1348,674
674,337
337,1012
1012,506
506,253
253,760
760,380
380,190
190,95
95,286
286,143
143,430
430,215
215,646
646,323
323,970
970,485
485,1456
1456,728
728,364
364,182
182,91
91,274
274,137
137,412
412,206
206,103
103,310
310,155
155,466
466,233
233,700
700,350
350,175
175,526
526,263
263,790
790,395
395,1186
1186,593
593,1780
1780,890
890,445
445,1336
1336,668
668,334
334,167
167,502
502,251
251,754
754,377
377,1132
1132,566
566,283
283,850
850,425
425,1276
1276,638
638,319
319,958
958,479
479,1438
1438,719
719,2158
2158,1079
1079,3238
3238,1619
1619,4858
4858,2429
2429,7288
7288,3644
3644,1822
1822,911
911,2734
2734,1367
1367,4102
4102,2051
2051,6154
6154,3077
3077,9232
9232,4616
4616,2308
2308,1154
1154,577
577,1732
1732,866
866,433
433,1300
1300,650
650,325
325,976
976,488
488,244
244,122
122,61
61,184
184,92
92,46
46,23
23,70
70,35
35,106
106,53
53,160
160,80
80,40
40,20
20,10
10,5
5,16
16,8
8,4
4,2
2,1
8514,4257
4257,12772
12772,6386
6386,3193
3193,9580
9580,4790
4790,2395
2395,7186
7186,3593
3593,10780
10780,5390
5390,2695
2695,8086
8086,4043
4043,12130
12130,6065
6065,18196
18196,9098
9098,4549
4549,13648
13648,6824
6824,3412
3412,1706
1706,853
853,2560
2560,1280
1280,640
640,320
320,160
160,80
80,40
40,20
20,10
10,5
5,16
16,8
8,4
4,2
2,1
8515,25546
25546,12773
12773,38320
38320,19160
19160,9580
9580,4790
4790,2395
2395,7186
7186,3593
3593,10780
10780,5390
5390,2695
2695,8086
8086,4043
4043,12130
12130,6065
6065,18196
18196,9098
9098,4549
4549,13648
13648,6824
6824,3412
3412,1706
1706,853
853,2560
2560,1280
1280,640
640,320
320,160
160,80
80,40
40,20
20,10
10,5
5,16
16,8
8,4
4,2
2,1
8516,4258
4258,2129
2129,6388
6388,3194
3194,1597
1597,4792
4792,2396
2396,1198
1198,599
599,1798
1798,899
899,2698
2698,1349
1349,4048
4048,2024
2024,1012
1012,506
506,253
253,760
760,380
380,190
190,95
95,286
286,143
143,430
430,215
215,646
646,323
323,970
970,485
485,1456
1456,728
728,364
364,182
182,91
91,274
274,137
137,412
412,206
206,103
103,310
310,155
155,466
466,233
233,700
700,350
350,175
175,526
526,263
263,790
790,395
395,1186
1186,593
593,1780
1780,890
890,445
445,1336
1336,668
668,334
334,167
167,502
502,251
251,754
754,377
377,1132
1132,566
566,283
283,850
850,425
425,1276
1276,638
638,319
319,958
958,479
479,1438
1438,719
719,2158
2158,1079
1079,3238
3238,1619
1619,4858
4858,2429
2429,7288
7288,3644
3644,1822
1822,911
911,2734
2734,1367
1367,4102
4102,2051
2051,6154
6154,3077
3077,9232
9232,4616
4616,2308
2308,1154
1154,577
577,1732
1732,866
866,433
433,1300
1300,650
650,325
325,976
976,488
488,244
244,122
122,61
61,184
184,92
92,46
46,23
23,70
70,35
35,106
106,53
53,160
160,80
80,40
40,20
20,10
10,5
5,16
16,8
8,4
4,2
2,1
8517,25552
25552,12776
12776,6388
6388,3194
3194,1597
1597,4792
4792,2396
2396,1198
1198,599
599,1798
1798,899
899,2698
2698,1349
1349,4048
4048,2024
2024,1012
1012,506
506,253
253,760
760,380
380,190
190,95
95,286
286,143
143,430
430,215
215,646
646,323
323,970
970,485
485,1456
1456,728
728,364
364,182
182,91
91,274
274,137
137,412
412,206
206,103
103,310
310,155
155,466
466,233
233,700
700,350
350,175
175,526
526,263
263,790
790,395
395,1186
1186,593
593,1780
1780,890
890,445
445,1336
1336,668
668,334
334,167
167,502
502,251
251,754
754,377
377,1132
1132,566
566,283
283,850
850,425
425,1276
1276,638
638,319
319,958
958,479
479,1438
1438,719
719,2158
2158,1079
1079,3238
3238,1619
1619,4858
4858,2429
2429,7288
7288,3644
3644,1822
1822,911
911,2734
2734,1367
1367,4102
4102,2051
2051,6154
6154,3077
3077,9232
9232,4616
4616,2308
2308,1154
1154,577
577,1732
1732,866
866,433
433,1300
1300,650
650,325
325,976
976,488
488,244
244,122
122,61
61,184
184,92
92,46
46,23
23,70
70,35
35,106
106,53
53,160
160,80
80,40
40,20
20,10
10,5
5,16
16,8
8,4
4,2
2,1
8518,4259
4259,12778
12778,6389
6389,19168
19168,9584
9584,4792
4792,2396
2396,1198
1198,599
599,1798
1798,899
899,2698
2698,1349
1349,4048
4048,2024
2024,1012
1012,506
506,253
253,760
760,380
380,190
190,95
95,286
286,143
143,430
430,215
215,646
646,323
323,970
970,485
485,1456
1456,728
728,364
364,182
182,91
91,274
274,137
137,412
412,206
206,103
103,310
310,155
155,466
466,233
233,700
700,350
350,175
175,526
526,263
263,790
790,395
395,1186
1186,593
593,1780
1780,890
890,445
445,1336
1336,668
668,334
334,167
167,502
502,251
251,754
754,377
377,1132
1132,566
566,283
283,850
850,425
425,1276
1276,638
638,319
319,958
958,479
479,1438
1438,719
719,2158
2158,1079
1079,3238
3238,1619
1619,4858
4858,2429
2429,7288
7288,3644
3644,1822
1822,911
911,2734
2734,1367
1367,4102
4102,2051
2051,6154
6154,3077
3077,9232
9232,4616
4616,2308
2308,1154
1154,577
577,1732
1732,866
866,433
433,1300
1300,650
650,325
325,976
976,488
488,244
244,122
122,61
61,184
184,92
92,46
46,23
23,70
70,35
35,106
106,53
53,160
160,80
80,40
40,20
20,10
10,5
5,16
16,8
8,4
4,2
2,1
8519,25558
25558,12779
12779,38338
38338,19169
19169,57508
57508,28754
28754,14377
14377,43132
43132,21566
21566,10783
10783,32350
32350,16175
16175,48526
48526,24263
24263,72790
72790,36395
36395,109186
109186,54593
54593,163780
163780,81890
81890,40945
40945,122836
122836,61418
61418,30709
30709,92128
92128,46064
46064,23032
23032,11516
11516,5758
5758,2879
2879,8638
8638,4319
4319,12958
12958,6479
6479,19438
19438,9719
9719,29158
29158,14579
14579,43738
43738,21869
21869,65608
65608,32804
32804,16402
16402,8201
8201,24604
24604,12302
12302,6151
6151,18454
18454,9227
9227,27682
27682,13841
13841,41524
41524,20762
20762,10381
10381,31144
31144,15572
15572,7786
7786,3893
3893,11680
11680,5840
5840,2920
2920,1460
1460,730
730,365
365,1096
1096,548
548,274
274,137
137,412
412,206
206,103
103,310
310,155
155,466
466,233
233,700
700,350
350,175
175,526
526,263
263,790
790,395
395,1186
1186,593
593,1780
1780,890
890,445
445,1336
1336,668
668,334
334,167
167,502
502,251
251,754
754,377
377,1132
1132,566
566,283
283,850
850,425
425,1276
1276,638
638,319
319,958
958,479
479,1438
1438,719
719,2158
2158,1079
1079,3238
3238,1619
1619,4858
4858,2429
2429,7288
7288,3644
3644,1822
1822,911
911,2734
2734,1367
1367,4102
4102,2051
2051,6154
6154,3077
3077,9232
9232,4616
4616,2308
2308,1154
1154,577
577,1732
1732,866
866,433
433,1300
1300,650
650,325
325,976
976,488
488,244
244,122
122,61
61,184
184,92
92,46
46,23
23,70
70,35
35,106
106,53
53,160
160,80
80,40
40,20
20,10
10,5
5,16
16,8
8,4
4,2
2,1
8520,4260
4260,2130
2130,1065
1065,3196
3196,1598
1598,799
799,2398
2398,1199
1199,3598
3598,1799
1799,5398
5398,2699
2699,8098
8098,4049
4049,12148
12148,6074
6074,3037
3037,9112
9112,4556
4556,2278
2278,1139
1139,3418
3418,1709
1709,5128
5128,2564
2564,1282
1282,641
641,1924
1924,962
962,481
481,1444
1444,722
722,361
361,1084
1084,542
542,271
271,814
814,407
407,1222
1222,611
611,1834
1834,917
917,2752
2752,1376
1376,688
688,344
344,172
172,86
86,43
43,130
130,65
65,196
196,98
98,49
49,148
148,74
74,37
37,112
112,56
56,28
28,14
14,7
7,22
22,11
11,34
34,17
17,52
52,26
26,13
13,40
40,20
20,10
10,5
5,16
16,8
8,4
4,2
2,1
8521,25564
25564,12782
12782,6391
6391,19174
19174,9587
9587,28762
28762,14381
14381,43144
43144,21572
21572,10786
10786,5393
5393,16180
16180,8090
8090,4045
4045,12136
12136,6068
6068,3034
3034,1517
1517,4552
4552,2276
2276,1138
1138,569
569,1708
1708,854
854,427
427,1282
1282,641
641,1924
1924,962
962,481
481,1444
1444,722
722,361
361,1084
1084,542
542,271
271,814
814,407
407,1222
1222,611
611,1834
1834,917
917,2752
2752,1376
1376,688
688,344
344,172
172,86
86,43
43,130
130,65
65,196
196,98
98,49
49,148
148,74
74,37
37,112
112,56
56,28
28,14
14,7
7,22
22,11
11,34
34,17
17,52
52,26
26,13
13,40
40,20
20,10
10,5
5,16
16,8
8,4
4,2
2,1
8522,4261
4261,12784
12784,6392
6392,3196
3196,1598
1598,799
799,2398
2398,1199
1199,3598
3598,1799
1799,5398
5398,2699
2699,8098
8098,4049
4049,12148
12148,6074
6074,3037
3037,9112
9112,4556
4556,2278
2278,1139
1139,3418
3418,1709
1709,5128
5128,2564
2564,1282
1282,641
641,1924
1924,962
962,481
481,1444
1444,722
722,361
361,1084
1084,542
542,271
271,814
814,407
407,1222
1222,611
611,1834
1834,917
917,2752
2752,1376
1376,688
688,344
344,172
172,86
86,43
43,130
130,65
65,196
196,98
98,49
49,148
148,74
74,37
37,112
112,56
56,28
28,14
14,7
7,22
22,11
11,34
34,17
17,52
52,26
26,13
13,40
40,20
20,10
10,5
5,16
16,8
8,4
4,2
2,1
8523,25570
25570,12785
12785,38356
38356,19178
19178,9589
9589,28768
28768,14384
14384,7192
7192,3596
3596,1798
1798,899
899,2698
2698,1349
1349,4048
4048,2024
2024,1012
1012,506
506,253
253,760
760,380
380,190
190,95
95,286
286,143
143,430
430,215
215,646
646,323
323,970
970,485
485,1456
1456,728
728,364
364,182
182,91
91,274
274,137
137,412
412,206
206,103
103,310
310,155
155,466
466,233
233,700
700,350
350,175
175,526
526,263
263,790
790,395
395,1186
1186,593
593,1780
1780,890
890,445
445,1336
1336,668
668,334
334,167
167,502
502,251
251,754
754,377
377,1132
1132,566
566,283
283,850
850,425
425,1276
1276,638
638,319
319,958
958,479
479,1438
1438,719
719,2158
2158,1079
1079,3238
3238,1619
1619,4858
4858,2429
2429,7288
7288,3644
3644,1822
1822,911
911,2734
2734,1367
1367,4102
4102,2051
2051,6154
6154,3077
3077,9232
9232,4616
4616,2308
2308,1154
1154,577
577,1732
1732,866
866,433
433,1300
1300,650
650,325
325,976
976,488
488,244
244,122
122,61
61,184
184,92
92,46
46,23
23,70
70,35
35,106
106,53
53,160
160,80
80,40
40,20
20,10
10,5
5,16
16,8
8,4
4,2
2,1
8524,4262
4262,2131
2131,6394
6394,3197
3197,9592
9592,4796
4796,2398
2398,1199
1199,3598
3598,1799
1799,5398
5398,2699
2699,8098
8098,4049
4049,12148
12148,6074
6074,3037
3037,9112
9112,4556
4556,2278
2278,1139
1139,3418
3418,1709
1709,5128
5128,2564
2564,1282
1282,641
641,1924
1924,962
962,481
481,1444
1444,722
722,361
361,1084
1084,542
542,271
271,814
814,407
407,1222
1222,611
611,1834
1834,917
917,2752
2752,1376
1376,688
688,344
344,172
172,86
86,43
43,130
130,65
65,196
196,98
98,49
49,148
148,74
74,37
37,112
112,56
56,28
28,14
14,7
7,22
22,11
11,34
34,17
17,52
52,26
26,13
13,40
40,20
20,10
10,5
5,16
16,8
8,4
4,2
2,1
8525,25576
25576,12788
12788,6394
6394,3197
3197,9592
9592,4796
4796,2398
2398,1199
1199,3598
3598,1799
1799,5398
5398,2699
2699,8098
8098,4049
4049,12148
12148,6074
6074,3037
3037,9112
9112,4556
4556,2278
2278,1139
1139,3418
3418,1709
1709,5128
5128,2564
2564,1282
1282,641
641,1924
1924,962
962,481
481,1444
1444,722
722,361
361,1084
1084,542
542,271
271,814
814,407
407,1222
1222,611
611,1834
1834,917
917,2752
2752,1376
1376,688
688,344
344,172
172,86
86,43
43,130
130,65
65,196
196,98
98,49
49,148
148,74
74,37
37,112
112,56
56,28
28,14
14,7
7,22
22,11
11,34
34,17
17,52
52,26
26,13
13,40
40,20
20,10
10,5
5,16
16,8
8,4
4,2
2,1
8526,4263
4263,12790
12790,6395
6395,19186
19186,9593
9593,28780
28780,14390
14390,7195
7195,21586
21586,10793
10793,32380
32380,16190
16190,8095
8095,24286
24286,12143
12143,36430
36430,18215
18215,54646
54646,27323
27323,81970
81970,40985
40985,122956
122956,61478
61478,30739
30739,92218
92218,46109
46109,138328
138328,69164
69164,34582
34582,17291
17291,51874
51874,25937
25937,77812
77812,38906
38906,19453
19453,58360
58360,29180
29180,14590
14590,7295
7295,21886
21886,10943
10943,32830
32830,16415
16415,49246
49246,24623
24623,73870
73870,36935
36935,110806
110806,55403
55403,166210
166210,83105
83105,249316
249316,124658
124658,62329
62329,186988
186988,93494
93494,46747
46747,140242
140242,70121
70121,210364
210364,105182
105182,52591
52591,157774
157774,78887
78887,236662
236662,118331
118331,354994
354994,177497
177497,532492
532492,266246
266246,133123
133123,399370
399370,199685
199685,599056
599056,299528
299528,149764
149764,74882
74882,37441
37441,112324
112324,56162
56162,28081
28081,84244
84244,42122
42122,21061
21061,63184
63184,31592
31592,15796
15796,7898
7898,3949
3949,11848
11848,5924
5924,2962
2962,1481
1481,4444
4444,2222
2222,1111
1111,3334
3334,1667
1667,5002
5002,2501
2501,7504
7504,3752
3752,1876
1876,938
938,469
469,1408
1408,704
704,352
352,176
176,88
88,44
44,22
22,11
11,34
34,17
17,52
52,26
26,13
13,40
40,20
20,10
10,5
5,16
16,8
8,4
4,2
2,1
8527,25582
25582,12791
12791,38374
38374,19187
19187,57562
57562,28781
28781,86344
86344,43172
43172,21586
21586,10793
10793,32380
32380,16190
16190,8095
8095,24286
24286,12143
12143,36430
36430,18215
18215,54646
54646,27323
27323,81970
81970,40985
40985,122956
122956,61478
61478,30739
30739,92218
92218,46109
46109,138328
138328,69164
69164,34582
34582,17291
17291,51874
51874,25937
25937,77812
77812,38906
38906,19453
19453,58360
58360,29180
29180,14590
14590,7295
7295,21886
21886,10943
10943,32830
32830,16415
16415,49246
49246,24623
24623,73870
73870,36935
36935,110806
110806,55403
55403,166210
166210,83105
83105,249316
249316,124658
124658,62329
62329,186988
186988,93494
93494,46747
46747,140242
140242,70121
70121,210364
210364,105182
105182,52591
52591,157774
157774,78887
78887,236662
236662,118331
118331,354994
